Logging to logs/selfsup_mamba_20251021-103535
GPU is available
Using device: cuda
training lstm
[01] train=1.1348e-01 | val=1.0013e-01 | L=8.97e-02 E=1.04e-02 Dyn=2.01e+00 | eig-ratio-L2=2.377e-01 axis-align=0.826
[02] train=1.0878e-01 | val=9.7614e-02 | L=8.75e-02 E=1.01e-02 Dyn=2.03e+00 | eig-ratio-L2=2.441e-01 axis-align=0.827
[03] train=1.0521e-01 | val=9.5247e-02 | L=8.50e-02 E=1.02e-02 Dyn=2.03e+00 | eig-ratio-L2=2.340e-01 axis-align=0.833
[04] train=1.0091e-01 | val=9.2284e-02 | L=8.20e-02 E=1.03e-02 Dyn=2.01e+00 | eig-ratio-L2=2.338e-01 axis-align=0.842
[05] train=9.6026e-02 | val=8.8652e-02 | L=7.83e-02 E=1.04e-02 Dyn=2.00e+00 | eig-ratio-L2=2.164e-01 axis-align=0.853
[06] train=9.1132e-02 | val=8.5853e-02 | L=7.53e-02 E=1.06e-02 Dyn=2.01e+00 | eig-ratio-L2=2.044e-01 axis-align=0.854
[07] train=8.6800e-02 | val=8.2240e-02 | L=7.15e-02 E=1.07e-02 Dyn=1.99e+00 | eig-ratio-L2=2.043e-01 axis-align=0.866
[08] train=8.2849e-02 | val=7.9639e-02 | L=6.88e-02 E=1.09e-02 Dyn=2.00e+00 | eig-ratio-L2=1.959e-01 axis-align=0.870
[09] train=7.9059e-02 | val=7.7490e-02 | L=6.63e-02 E=1.12e-02 Dyn=1.99e+00 | eig-ratio-L2=1.928e-01 axis-align=0.873
[10] train=7.6007e-02 | val=7.4538e-02 | L=6.36e-02 E=1.09e-02 Dyn=1.95e+00 | eig-ratio-L2=1.931e-01 axis-align=0.878
[11] train=7.4088e-02 | val=7.4502e-02 | L=6.32e-02 E=1.13e-02 Dyn=1.96e+00 | eig-ratio-L2=1.841e-01 axis-align=0.880
[12] train=7.1488e-02 | val=7.1655e-02 | L=6.07e-02 E=1.09e-02 Dyn=1.94e+00 | eig-ratio-L2=1.833e-01 axis-align=0.881
[13] train=6.9231e-02 | val=7.0482e-02 | L=5.95e-02 E=1.10e-02 Dyn=1.92e+00 | eig-ratio-L2=1.835e-01 axis-align=0.892
[14] train=6.7015e-02 | val=6.9026e-02 | L=5.81e-02 E=1.10e-02 Dyn=1.88e+00 | eig-ratio-L2=1.797e-01 axis-align=0.881
[15] train=6.5417e-02 | val=6.7791e-02 | L=5.69e-02 E=1.09e-02 Dyn=1.84e+00 | eig-ratio-L2=1.753e-01 axis-align=0.887
[16] train=6.3270e-02 | val=6.7800e-02 | L=5.69e-02 E=1.09e-02 Dyn=1.78e+00 | eig-ratio-L2=1.729e-01 axis-align=0.886
[17] train=6.2672e-02 | val=6.7022e-02 | L=5.61e-02 E=1.09e-02 Dyn=1.78e+00 | eig-ratio-L2=1.716e-01 axis-align=0.885
[18] train=6.1130e-02 | val=6.4602e-02 | L=5.42e-02 E=1.04e-02 Dyn=1.72e+00 | eig-ratio-L2=1.734e-01 axis-align=0.889
[19] train=6.0383e-02 | val=6.3393e-02 | L=5.29e-02 E=1.05e-02 Dyn=1.68e+00 | eig-ratio-L2=1.728e-01 axis-align=0.886
[20] train=5.9187e-02 | val=6.2955e-02 | L=5.26e-02 E=1.04e-02 Dyn=1.63e+00 | eig-ratio-L2=1.715e-01 axis-align=0.890
[21] train=5.8346e-02 | val=6.1477e-02 | L=5.15e-02 E=9.93e-03 Dyn=1.58e+00 | eig-ratio-L2=1.702e-01 axis-align=0.896
[22] train=5.7575e-02 | val=6.2368e-02 | L=5.22e-02 E=1.01e-02 Dyn=1.59e+00 | eig-ratio-L2=1.687e-01 axis-align=0.894
[23] train=5.6717e-02 | val=6.0647e-02 | L=5.06e-02 E=1.01e-02 Dyn=1.52e+00 | eig-ratio-L2=1.696e-01 axis-align=0.887
[24] train=5.6096e-02 | val=6.1139e-02 | L=5.08e-02 E=1.03e-02 Dyn=1.53e+00 | eig-ratio-L2=1.688e-01 axis-align=0.891
[25] train=5.5348e-02 | val=6.3081e-02 | L=5.17e-02 E=1.14e-02 Dyn=1.46e+00 | eig-ratio-L2=1.665e-01 axis-align=0.888
[26] train=5.4866e-02 | val=6.1473e-02 | L=5.09e-02 E=1.05e-02 Dyn=1.46e+00 | eig-ratio-L2=1.659e-01 axis-align=0.886
[27] train=5.3931e-02 | val=6.1762e-02 | L=5.10e-02 E=1.08e-02 Dyn=1.42e+00 | eig-ratio-L2=1.679e-01 axis-align=0.889
[28] train=5.4001e-02 | val=5.9765e-02 | L=4.94e-02 E=1.04e-02 Dyn=1.33e+00 | eig-ratio-L2=1.645e-01 axis-align=0.892
[29] train=5.3375e-02 | val=6.0759e-02 | L=5.01e-02 E=1.07e-02 Dyn=1.34e+00 | eig-ratio-L2=1.639e-01 axis-align=0.886
[30] train=5.2852e-02 | val=6.1297e-02 | L=5.03e-02 E=1.10e-02 Dyn=1.38e+00 | eig-ratio-L2=1.633e-01 axis-align=0.884
[31] train=5.2457e-02 | val=6.0414e-02 | L=4.99e-02 E=1.05e-02 Dyn=1.30e+00 | eig-ratio-L2=1.655e-01 axis-align=0.887
[32] train=5.1634e-02 | val=5.8735e-02 | L=4.87e-02 E=1.00e-02 Dyn=1.29e+00 | eig-ratio-L2=1.634e-01 axis-align=0.888
[33] train=5.1730e-02 | val=6.0980e-02 | L=4.99e-02 E=1.10e-02 Dyn=1.35e+00 | eig-ratio-L2=1.636e-01 axis-align=0.893
[34] train=5.1372e-02 | val=6.0292e-02 | L=4.95e-02 E=1.08e-02 Dyn=1.24e+00 | eig-ratio-L2=1.615e-01 axis-align=0.888
