Logging to logs/selfsup_mamba_20251022-151808
GPU is available
Using device: cuda
training lstm
[39] train=5.5294e-01 | val=1.3673e+00 | L=9.69e-02 E=2.46e-02 Dyn=1.25e+01 | eig-ratio-L2=1.398e-01 axis-align=0.874
[40] train=5.5262e-01 | val=1.4174e+00 | L=9.78e-02 E=2.71e-02 Dyn=1.29e+01 | eig-ratio-L2=1.389e-01 axis-align=0.878
[41] train=5.4660e-01 | val=1.3617e+00 | L=9.57e-02 E=2.40e-02 Dyn=1.24e+01 | eig-ratio-L2=1.445e-01 axis-align=0.868
[42] train=5.1003e-01 | val=1.4471e+00 | L=9.87e-02 E=2.48e-02 Dyn=1.32e+01 | eig-ratio-L2=1.351e-01 axis-align=0.877
[43] train=5.6688e-01 | val=1.3967e+00 | L=1.00e-01 E=2.33e-02 Dyn=1.27e+01 | eig-ratio-L2=1.399e-01 axis-align=0.880
[44] train=4.8270e-01 | val=1.3372e+00 | L=9.88e-02 E=2.34e-02 Dyn=1.21e+01 | eig-ratio-L2=1.448e-01 axis-align=0.880
[45] train=5.5191e-01 | val=1.4985e+00 | L=9.39e-02 E=2.75e-02 Dyn=1.38e+01 | eig-ratio-L2=1.426e-01 axis-align=0.876
[46] train=5.2169e-01 | val=1.5006e+00 | L=9.98e-02 E=2.81e-02 Dyn=1.37e+01 | eig-ratio-L2=1.356e-01 axis-align=0.876
[47] train=4.8432e-01 | val=1.4204e+00 | L=9.89e-02 E=2.87e-02 Dyn=1.29e+01 | eig-ratio-L2=1.404e-01 axis-align=0.878
[48] train=5.6370e-01 | val=1.4614e+00 | L=9.73e-02 E=2.92e-02 Dyn=1.33e+01 | eig-ratio-L2=1.328e-01 axis-align=0.879
[49] train=4.3339e-01 | val=1.6650e+00 | L=9.89e-02 E=3.19e-02 Dyn=1.53e+01 | eig-ratio-L2=1.367e-01 axis-align=0.878
[50] train=4.7255e-01 | val=1.4024e+00 | L=9.66e-02 E=3.15e-02 Dyn=1.27e+01 | eig-ratio-L2=1.356e-01 axis-align=0.876
[51] train=4.6370e-01 | val=1.6253e+00 | L=1.00e-01 E=3.15e-02 Dyn=1.49e+01 | eig-ratio-L2=1.331e-01 axis-align=0.881
[52] train=4.5100e-01 | val=1.4136e+00 | L=9.21e-02 E=2.76e-02 Dyn=1.29e+01 | eig-ratio-L2=1.330e-01 axis-align=0.882
[53] train=4.1159e-01 | val=1.5119e+00 | L=9.74e-02 E=3.32e-02 Dyn=1.38e+01 | eig-ratio-L2=1.367e-01 axis-align=0.876
[54] train=4.3110e-01 | val=1.6650e+00 | L=9.73e-02 E=3.23e-02 Dyn=1.54e+01 | eig-ratio-L2=1.343e-01 axis-align=0.886
[55] train=4.0136e-01 | val=1.5642e+00 | L=9.62e-02 E=2.76e-02 Dyn=1.44e+01 | eig-ratio-L2=1.388e-01 axis-align=0.875
[56] train=3.6571e-01 | val=1.8082e+00 | L=1.01e-01 E=3.46e-02 Dyn=1.67e+01 | eig-ratio-L2=1.362e-01 axis-align=0.878
[57] train=3.7051e-01 | val=1.4046e+00 | L=9.43e-02 E=2.50e-02 Dyn=1.29e+01 | eig-ratio-L2=1.365e-01 axis-align=0.881
[58] train=3.7614e-01 | val=1.4958e+00 | L=9.66e-02 E=2.98e-02 Dyn=1.37e+01 | eig-ratio-L2=1.377e-01 axis-align=0.883
[59] train=3.4725e-01 | val=1.4399e+00 | L=9.43e-02 E=3.32e-02 Dyn=1.31e+01 | eig-ratio-L2=1.396e-01 axis-align=0.882
[60] train=3.9005e-01 | val=1.5962e+00 | L=9.68e-02 E=3.34e-02 Dyn=1.47e+01 | eig-ratio-L2=1.342e-01 axis-align=0.875
[61] train=3.3438e-01 | val=1.4397e+00 | L=9.72e-02 E=3.05e-02 Dyn=1.31e+01 | eig-ratio-L2=1.356e-01 axis-align=0.880
[62] train=3.6941e-01 | val=1.4010e+00 | L=9.52e-02 E=3.09e-02 Dyn=1.27e+01 | eig-ratio-L2=1.367e-01 axis-align=0.880
[63] train=3.4068e-01 | val=1.4598e+00 | L=9.46e-02 E=3.03e-02 Dyn=1.33e+01 | eig-ratio-L2=1.378e-01 axis-align=0.873
[64] train=3.3284e-01 | val=1.5543e+00 | L=9.48e-02 E=3.30e-02 Dyn=1.43e+01 | eig-ratio-L2=1.344e-01 axis-align=0.879
[65] train=3.4988e-01 | val=1.4447e+00 | L=9.62e-02 E=3.61e-02 Dyn=1.31e+01 | eig-ratio-L2=1.381e-01 axis-align=0.874
[66] train=3.1418e-01 | val=1.3954e+00 | L=9.35e-02 E=3.36e-02 Dyn=1.27e+01 | eig-ratio-L2=1.330e-01 axis-align=0.878
[67] train=3.3145e-01 | val=1.3192e+00 | L=9.46e-02 E=2.85e-02 Dyn=1.20e+01 | eig-ratio-L2=1.378e-01 axis-align=0.884
[68] train=3.4387e-01 | val=1.4684e+00 | L=9.64e-02 E=3.05e-02 Dyn=1.34e+01 | eig-ratio-L2=1.337e-01 axis-align=0.884
[69] train=4.1120e-01 | val=1.3580e+00 | L=9.18e-02 E=3.02e-02 Dyn=1.24e+01 | eig-ratio-L2=1.319e-01 axis-align=0.877
[70] train=3.2637e-01 | val=1.4976e+00 | L=9.28e-02 E=3.31e-02 Dyn=1.37e+01 | eig-ratio-L2=1.345e-01 axis-align=0.883
[71] train=3.0124e-01 | val=1.3544e+00 | L=9.40e-02 E=2.96e-02 Dyn=1.23e+01 | eig-ratio-L2=1.330e-01 axis-align=0.875
[72] train=3.6623e-01 | val=1.3800e+00 | L=9.61e-02 E=2.92e-02 Dyn=1.25e+01 | eig-ratio-L2=1.328e-01 axis-align=0.877
[73] train=2.7648e-01 | val=1.4429e+00 | L=9.40e-02 E=3.18e-02 Dyn=1.32e+01 | eig-ratio-L2=1.331e-01 axis-align=0.878
[74] train=2.8780e-01 | val=1.6426e+00 | L=9.53e-02 E=3.37e-02 Dyn=1.51e+01 | eig-ratio-L2=1.324e-01 axis-align=0.879
[75] train=2.8434e-01 | val=1.3427e+00 | L=9.59e-02 E=3.44e-02 Dyn=1.21e+01 | eig-ratio-L2=1.292e-01 axis-align=0.882
[76] train=3.0686e-01 | val=1.1888e+00 | L=9.17e-02 E=2.85e-02 Dyn=1.07e+01 | eig-ratio-L2=1.312e-01 axis-align=0.884
[77] train=3.2680e-01 | val=1.2729e+00 | L=9.45e-02 E=2.98e-02 Dyn=1.15e+01 | eig-ratio-L2=1.358e-01 axis-align=0.885
[78] train=2.5768e-01 | val=1.4457e+00 | L=9.45e-02 E=3.37e-02 Dyn=1.32e+01 | eig-ratio-L2=1.290e-01 axis-align=0.879
