Logging to logs/selfsup_mamba_20251020-224608
GPU is available
Using device: cuda
training lstm
[01] train=1.1348e-01 | val=1.0013e-01 | L=8.97e-02 E=1.04e-02 Dyn=2.01e+00 | eig-ratio-L2=2.377e-01 axis-align=0.826
[35] train=5.0616e-02 | val=6.0239e-02 | L=4.94e-02 E=1.09e-02 Dyn=1.25e+00 | eig-ratio-L2=1.613e-01 axis-align=0.886
[36] train=5.0252e-02 | val=6.0330e-02 | L=4.93e-02 E=1.11e-02 Dyn=1.27e+00 | eig-ratio-L2=1.613e-01 axis-align=0.892
[37] train=5.0797e-02 | val=6.0616e-02 | L=4.93e-02 E=1.13e-02 Dyn=1.25e+00 | eig-ratio-L2=1.630e-01 axis-align=0.886
[38] train=4.9639e-02 | val=6.0207e-02 | L=4.93e-02 E=1.09e-02 Dyn=1.25e+00 | eig-ratio-L2=1.632e-01 axis-align=0.890
[39] train=4.9271e-02 | val=6.0281e-02 | L=4.89e-02 E=1.13e-02 Dyn=1.21e+00 | eig-ratio-L2=1.619e-01 axis-align=0.888
[40] train=4.9072e-02 | val=6.0841e-02 | L=4.96e-02 E=1.13e-02 Dyn=1.24e+00 | eig-ratio-L2=1.621e-01 axis-align=0.889
[41] train=4.8869e-02 | val=6.0464e-02 | L=4.90e-02 E=1.15e-02 Dyn=1.24e+00 | eig-ratio-L2=1.612e-01 axis-align=0.887
[42] train=4.8046e-02 | val=6.0408e-02 | L=4.93e-02 E=1.11e-02 Dyn=1.20e+00 | eig-ratio-L2=1.609e-01 axis-align=0.883
[43] train=4.8785e-02 | val=5.7903e-02 | L=4.76e-02 E=1.03e-02 Dyn=1.19e+00 | eig-ratio-L2=1.583e-01 axis-align=0.891
[44] train=4.8346e-02 | val=5.9972e-02 | L=4.89e-02 E=1.11e-02 Dyn=1.25e+00 | eig-ratio-L2=1.597e-01 axis-align=0.889
[45] train=4.7735e-02 | val=5.9191e-02 | L=4.83e-02 E=1.09e-02 Dyn=1.18e+00 | eig-ratio-L2=1.598e-01 axis-align=0.891
[46] train=4.7774e-02 | val=5.8937e-02 | L=4.83e-02 E=1.07e-02 Dyn=1.20e+00 | eig-ratio-L2=1.592e-01 axis-align=0.892
[47] train=4.7341e-02 | val=5.8110e-02 | L=4.76e-02 E=1.05e-02 Dyn=1.15e+00 | eig-ratio-L2=1.589e-01 axis-align=0.892
[48] train=4.7290e-02 | val=5.9826e-02 | L=4.86e-02 E=1.12e-02 Dyn=1.21e+00 | eig-ratio-L2=1.571e-01 axis-align=0.886
[49] train=4.6506e-02 | val=5.9076e-02 | L=4.82e-02 E=1.09e-02 Dyn=1.18e+00 | eig-ratio-L2=1.588e-01 axis-align=0.893
[50] train=4.6489e-02 | val=5.9403e-02 | L=4.87e-02 E=1.07e-02 Dyn=1.16e+00 | eig-ratio-L2=1.580e-01 axis-align=0.890
[51] train=4.6142e-02 | val=5.9129e-02 | L=4.81e-02 E=1.10e-02 Dyn=1.18e+00 | eig-ratio-L2=1.566e-01 axis-align=0.892
[52] train=4.6186e-02 | val=5.9807e-02 | L=4.85e-02 E=1.13e-02 Dyn=1.18e+00 | eig-ratio-L2=1.559e-01 axis-align=0.888
[53] train=4.5920e-02 | val=5.9838e-02 | L=4.87e-02 E=1.12e-02 Dyn=1.21e+00 | eig-ratio-L2=1.554e-01 axis-align=0.891
[54] train=4.5518e-02 | val=5.9926e-02 | L=4.86e-02 E=1.13e-02 Dyn=1.21e+00 | eig-ratio-L2=1.565e-01 axis-align=0.889
[55] train=4.5387e-02 | val=5.8322e-02 | L=4.78e-02 E=1.05e-02 Dyn=1.13e+00 | eig-ratio-L2=1.576e-01 axis-align=0.899
[56] train=4.5929e-02 | val=5.9847e-02 | L=4.85e-02 E=1.13e-02 Dyn=1.20e+00 | eig-ratio-L2=1.575e-01 axis-align=0.885
[57] train=4.5236e-02 | val=5.8977e-02 | L=4.83e-02 E=1.06e-02 Dyn=1.15e+00 | eig-ratio-L2=1.563e-01 axis-align=0.889
[58] train=4.5215e-02 | val=5.9698e-02 | L=4.88e-02 E=1.09e-02 Dyn=1.21e+00 | eig-ratio-L2=1.566e-01 axis-align=0.888
[59] train=4.5242e-02 | val=5.9832e-02 | L=4.84e-02 E=1.14e-02 Dyn=1.13e+00 | eig-ratio-L2=1.555e-01 axis-align=0.885
[60] train=4.4805e-02 | val=6.0389e-02 | L=4.95e-02 E=1.09e-02 Dyn=1.14e+00 | eig-ratio-L2=1.581e-01 axis-align=0.898
[61] train=4.4296e-02 | val=5.8426e-02 | L=4.81e-02 E=1.03e-02 Dyn=1.13e+00 | eig-ratio-L2=1.578e-01 axis-align=0.890
[62] train=4.4221e-02 | val=5.9050e-02 | L=4.82e-02 E=1.08e-02 Dyn=1.16e+00 | eig-ratio-L2=1.553e-01 axis-align=0.887
[63] train=4.4208e-02 | val=5.9679e-02 | L=4.83e-02 E=1.13e-02 Dyn=1.16e+00 | eig-ratio-L2=1.557e-01 axis-align=0.890
[64] train=4.4069e-02 | val=6.0285e-02 | L=4.87e-02 E=1.16e-02 Dyn=1.13e+00 | eig-ratio-L2=1.551e-01 axis-align=0.886
[65] train=4.4711e-02 | val=6.1454e-02 | L=4.94e-02 E=1.21e-02 Dyn=1.14e+00 | eig-ratio-L2=1.540e-01 axis-align=0.889
[66] train=4.4099e-02 | val=6.0841e-02 | L=4.92e-02 E=1.16e-02 Dyn=1.12e+00 | eig-ratio-L2=1.554e-01 axis-align=0.888
[67] train=4.3931e-02 | val=5.9352e-02 | L=4.82e-02 E=1.12e-02 Dyn=1.11e+00 | eig-ratio-L2=1.550e-01 axis-align=0.890
[68] train=4.3192e-02 | val=6.1584e-02 | L=4.93e-02 E=1.23e-02 Dyn=1.15e+00 | eig-ratio-L2=1.552e-01 axis-align=0.891
[69] train=4.2954e-02 | val=5.9904e-02 | L=4.90e-02 E=1.09e-02 Dyn=1.12e+00 | eig-ratio-L2=1.565e-01 axis-align=0.892
[70] train=4.2956e-02 | val=6.2335e-02 | L=4.99e-02 E=1.24e-02 Dyn=1.18e+00 | eig-ratio-L2=1.555e-01 axis-align=0.888
[71] train=4.2731e-02 | val=6.0580e-02 | L=4.91e-02 E=1.15e-02 Dyn=1.07e+00 | eig-ratio-L2=1.541e-01 axis-align=0.886
[72] train=4.3034e-02 | val=6.1380e-02 | L=4.94e-02 E=1.20e-02 Dyn=1.15e+00 | eig-ratio-L2=1.533e-01 axis-align=0.890
[73] train=4.2325e-02 | val=6.2376e-02 | L=4.99e-02 E=1.25e-02 Dyn=1.11e+00 | eig-ratio-L2=1.541e-01 axis-align=0.890
[74] train=4.2424e-02 | val=6.0142e-02 | L=4.89e-02 E=1.12e-02 Dyn=1.09e+00 | eig-ratio-L2=1.545e-01 axis-align=0.887
[75] train=4.2471e-02 | val=6.1768e-02 | L=4.93e-02 E=1.25e-02 Dyn=1.12e+00 | eig-ratio-L2=1.539e-01 axis-align=0.888
[76] train=4.2216e-02 | val=6.2710e-02 | L=5.02e-02 E=1.25e-02 Dyn=1.06e+00 | eig-ratio-L2=1.516e-01 axis-align=0.885
[77] train=4.1717e-02 | val=6.2324e-02 | L=4.95e-02 E=1.28e-02 Dyn=1.12e+00 | eig-ratio-L2=1.527e-01 axis-align=0.887
[78] train=4.1809e-02 | val=6.3732e-02 | L=5.07e-02 E=1.31e-02 Dyn=1.12e+00 | eig-ratio-L2=1.529e-01 axis-align=0.893
[79] train=4.1861e-02 | val=6.0943e-02 | L=4.89e-02 E=1.21e-02 Dyn=1.11e+00 | eig-ratio-L2=1.524e-01 axis-align=0.889
[80] train=4.2361e-02 | val=6.3858e-02 | L=5.05e-02 E=1.34e-02 Dyn=1.12e+00 | eig-ratio-L2=1.535e-01 axis-align=0.891
[81] train=4.2407e-02 | val=6.2183e-02 | L=4.94e-02 E=1.27e-02 Dyn=1.13e+00 | eig-ratio-L2=1.523e-01 axis-align=0.889
[82] train=4.2126e-02 | val=6.2217e-02 | L=4.98e-02 E=1.25e-02 Dyn=1.08e+00 | eig-ratio-L2=1.511e-01 axis-align=0.885
[83] train=4.1953e-02 | val=6.2737e-02 | L=4.99e-02 E=1.29e-02 Dyn=1.09e+00 | eig-ratio-L2=1.512e-01 axis-align=0.888
[84] train=4.1299e-02 | val=6.1277e-02 | L=4.91e-02 E=1.21e-02 Dyn=1.11e+00 | eig-ratio-L2=1.526e-01 axis-align=0.891
[85] train=4.1038e-02 | val=6.1825e-02 | L=4.92e-02 E=1.26e-02 Dyn=1.14e+00 | eig-ratio-L2=1.502e-01 axis-align=0.890
[86] train=4.1539e-02 | val=6.2036e-02 | L=4.92e-02 E=1.28e-02 Dyn=1.10e+00 | eig-ratio-L2=1.488e-01 axis-align=0.892
[87] train=4.1449e-02 | val=6.3774e-02 | L=5.02e-02 E=1.36e-02 Dyn=1.11e+00 | eig-ratio-L2=1.499e-01 axis-align=0.887
[88] train=4.1243e-02 | val=6.0094e-02 | L=4.84e-02 E=1.17e-02 Dyn=1.08e+00 | eig-ratio-L2=1.532e-01 axis-align=0.885
[89] train=4.0673e-02 | val=6.4776e-02 | L=5.09e-02 E=1.39e-02 Dyn=1.10e+00 | eig-ratio-L2=1.497e-01 axis-align=0.888
[90] train=4.1240e-02 | val=6.4498e-02 | L=5.07e-02 E=1.38e-02 Dyn=1.11e+00 | eig-ratio-L2=1.494e-01 axis-align=0.887
[91] train=4.1121e-02 | val=6.1577e-02 | L=4.94e-02 E=1.22e-02 Dyn=1.07e+00 | eig-ratio-L2=1.501e-01 axis-align=0.886
[92] train=4.1740e-02 | val=6.3006e-02 | L=4.97e-02 E=1.33e-02 Dyn=1.10e+00 | eig-ratio-L2=1.507e-01 axis-align=0.887
[93] train=4.1237e-02 | val=6.1313e-02 | L=4.87e-02 E=1.26e-02 Dyn=1.08e+00 | eig-ratio-L2=1.507e-01 axis-align=0.890
[94] train=4.0644e-02 | val=6.2937e-02 | L=4.92e-02 E=1.38e-02 Dyn=1.10e+00 | eig-ratio-L2=1.498e-01 axis-align=0.886
[95] train=4.0910e-02 | val=6.3333e-02 | L=4.98e-02 E=1.35e-02 Dyn=1.10e+00 | eig-ratio-L2=1.522e-01 axis-align=0.885
[96] train=4.0304e-02 | val=6.3027e-02 | L=4.96e-02 E=1.35e-02 Dyn=1.10e+00 | eig-ratio-L2=1.507e-01 axis-align=0.886
[97] train=4.0678e-02 | val=6.2823e-02 | L=4.97e-02 E=1.31e-02 Dyn=1.04e+00 | eig-ratio-L2=1.494e-01 axis-align=0.885
[98] train=4.0940e-02 | val=6.2451e-02 | L=4.92e-02 E=1.33e-02 Dyn=1.06e+00 | eig-ratio-L2=1.510e-01 axis-align=0.890
[99] train=4.0725e-02 | val=6.3240e-02 | L=4.96e-02 E=1.36e-02 Dyn=1.05e+00 | eig-ratio-L2=1.507e-01 axis-align=0.888
[100] train=3.9910e-02 | val=6.5990e-02 | L=5.12e-02 E=1.48e-02 Dyn=1.10e+00 | eig-ratio-L2=1.498e-01 axis-align=0.887
[101] train=3.9643e-02 | val=6.4609e-02 | L=4.99e-02 E=1.47e-02 Dyn=1.11e+00 | eig-ratio-L2=1.517e-01 axis-align=0.887
[102] train=3.9790e-02 | val=6.3856e-02 | L=4.99e-02 E=1.40e-02 Dyn=1.07e+00 | eig-ratio-L2=1.499e-01 axis-align=0.887
[103] train=3.9453e-02 | val=6.3528e-02 | L=4.99e-02 E=1.36e-02 Dyn=1.08e+00 | eig-ratio-L2=1.510e-01 axis-align=0.884
[104] train=3.9466e-02 | val=6.5357e-02 | L=5.04e-02 E=1.49e-02 Dyn=1.07e+00 | eig-ratio-L2=1.517e-01 axis-align=0.886
[105] train=3.9398e-02 | val=6.3729e-02 | L=5.01e-02 E=1.36e-02 Dyn=1.06e+00 | eig-ratio-L2=1.514e-01 axis-align=0.887
[106] train=3.9650e-02 | val=6.3165e-02 | L=4.92e-02 E=1.40e-02 Dyn=1.08e+00 | eig-ratio-L2=1.497e-01 axis-align=0.887
[107] train=3.9756e-02 | val=6.3147e-02 | L=4.97e-02 E=1.34e-02 Dyn=1.06e+00 | eig-ratio-L2=1.497e-01 axis-align=0.887
[108] train=4.0177e-02 | val=6.5010e-02 | L=5.01e-02 E=1.50e-02 Dyn=1.06e+00 | eig-ratio-L2=1.485e-01 axis-align=0.889
[109] train=3.9752e-02 | val=6.3033e-02 | L=4.95e-02 E=1.36e-02 Dyn=1.04e+00 | eig-ratio-L2=1.505e-01 axis-align=0.894
[110] train=3.9019e-02 | val=6.4077e-02 | L=4.98e-02 E=1.43e-02 Dyn=1.06e+00 | eig-ratio-L2=1.513e-01 axis-align=0.892
[111] train=3.8931e-02 | val=6.5601e-02 | L=5.09e-02 E=1.47e-02 Dyn=1.06e+00 | eig-ratio-L2=1.492e-01 axis-align=0.890
[112] train=3.9117e-02 | val=6.2384e-02 | L=4.89e-02 E=1.35e-02 Dyn=1.03e+00 | eig-ratio-L2=1.509e-01 axis-align=0.889
[113] train=3.8834e-02 | val=6.3065e-02 | L=4.95e-02 E=1.35e-02 Dyn=1.04e+00 | eig-ratio-L2=1.504e-01 axis-align=0.887
[114] train=3.8886e-02 | val=6.3391e-02 | L=4.93e-02 E=1.41e-02 Dyn=1.04e+00 | eig-ratio-L2=1.497e-01 axis-align=0.891
[115] train=3.8372e-02 | val=6.4300e-02 | L=5.01e-02 E=1.42e-02 Dyn=1.05e+00 | eig-ratio-L2=1.501e-01 axis-align=0.890
[116] train=3.8293e-02 | val=6.4206e-02 | L=4.98e-02 E=1.44e-02 Dyn=1.05e+00 | eig-ratio-L2=1.513e-01 axis-align=0.891
[117] train=3.8902e-02 | val=6.2975e-02 | L=4.97e-02 E=1.33e-02 Dyn=1.05e+00 | eig-ratio-L2=1.490e-01 axis-align=0.884
[118] train=3.8814e-02 | val=6.4558e-02 | L=5.03e-02 E=1.43e-02 Dyn=1.07e+00 | eig-ratio-L2=1.501e-01 axis-align=0.889
[119] train=3.8532e-02 | val=6.5856e-02 | L=5.04e-02 E=1.54e-02 Dyn=1.04e+00 | eig-ratio-L2=1.514e-01 axis-align=0.886
[120] train=3.7864e-02 | val=6.4270e-02 | L=5.01e-02 E=1.41e-02 Dyn=1.08e+00 | eig-ratio-L2=1.505e-01 axis-align=0.890
[121] train=3.7972e-02 | val=6.3042e-02 | L=4.91e-02 E=1.39e-02 Dyn=1.04e+00 | eig-ratio-L2=1.491e-01 axis-align=0.883
[122] train=3.8152e-02 | val=6.6449e-02 | L=5.08e-02 E=1.56e-02 Dyn=1.05e+00 | eig-ratio-L2=1.486e-01 axis-align=0.886
[123] train=3.8082e-02 | val=6.3143e-02 | L=4.91e-02 E=1.41e-02 Dyn=1.04e+00 | eig-ratio-L2=1.477e-01 axis-align=0.892
[124] train=3.8209e-02 | val=6.4688e-02 | L=5.04e-02 E=1.42e-02 Dyn=1.04e+00 | eig-ratio-L2=1.495e-01 axis-align=0.891
[125] train=3.8531e-02 | val=6.6272e-02 | L=5.16e-02 E=1.46e-02 Dyn=1.06e+00 | eig-ratio-L2=1.481e-01 axis-align=0.885
[126] train=3.8601e-02 | val=6.2419e-02 | L=4.91e-02 E=1.33e-02 Dyn=9.93e-01 | eig-ratio-L2=1.485e-01 axis-align=0.893
[127] train=3.7892e-02 | val=6.4716e-02 | L=5.01e-02 E=1.46e-02 Dyn=1.05e+00 | eig-ratio-L2=1.497e-01 axis-align=0.891
[128] train=3.7891e-02 | val=6.3221e-02 | L=4.90e-02 E=1.42e-02 Dyn=1.00e+00 | eig-ratio-L2=1.492e-01 axis-align=0.893
[129] train=3.7695e-02 | val=6.4651e-02 | L=5.01e-02 E=1.45e-02 Dyn=1.08e+00 | eig-ratio-L2=1.503e-01 axis-align=0.886
[130] train=3.7291e-02 | val=6.7226e-02 | L=5.11e-02 E=1.61e-02 Dyn=1.10e+00 | eig-ratio-L2=1.491e-01 axis-align=0.884
[131] train=3.7304e-02 | val=6.3460e-02 | L=5.01e-02 E=1.34e-02 Dyn=1.03e+00 | eig-ratio-L2=1.492e-01 axis-align=0.889
[132] train=3.8139e-02 | val=6.4469e-02 | L=5.01e-02 E=1.43e-02 Dyn=1.06e+00 | eig-ratio-L2=1.496e-01 axis-align=0.891
[133] train=3.7539e-02 | val=6.4439e-02 | L=5.01e-02 E=1.43e-02 Dyn=9.93e-01 | eig-ratio-L2=1.484e-01 axis-align=0.894
[134] train=3.7404e-02 | val=6.5351e-02 | L=5.05e-02 E=1.48e-02 Dyn=1.01e+00 | eig-ratio-L2=1.479e-01 axis-align=0.888
[135] train=3.7393e-02 | val=6.3819e-02 | L=4.97e-02 E=1.42e-02 Dyn=1.03e+00 | eig-ratio-L2=1.474e-01 axis-align=0.889
[136] train=3.7317e-02 | val=6.5514e-02 | L=5.12e-02 E=1.43e-02 Dyn=1.05e+00 | eig-ratio-L2=1.494e-01 axis-align=0.890
[137] train=3.7364e-02 | val=6.4638e-02 | L=5.05e-02 E=1.41e-02 Dyn=1.03e+00 | eig-ratio-L2=1.461e-01 axis-align=0.886
[138] train=3.6828e-02 | val=6.5075e-02 | L=5.09e-02 E=1.41e-02 Dyn=1.05e+00 | eig-ratio-L2=1.479e-01 axis-align=0.887
[139] train=3.6373e-02 | val=6.7999e-02 | L=5.19e-02 E=1.61e-02 Dyn=1.08e+00 | eig-ratio-L2=1.473e-01 axis-align=0.887
[140] train=3.6909e-02 | val=6.6358e-02 | L=5.15e-02 E=1.49e-02 Dyn=1.07e+00 | eig-ratio-L2=1.484e-01 axis-align=0.891
[141] train=3.6664e-02 | val=6.8688e-02 | L=5.24e-02 E=1.63e-02 Dyn=1.07e+00 | eig-ratio-L2=1.468e-01 axis-align=0.890
[142] train=3.6744e-02 | val=6.5981e-02 | L=5.13e-02 E=1.47e-02 Dyn=1.05e+00 | eig-ratio-L2=1.458e-01 axis-align=0.891
[143] train=3.7217e-02 | val=6.7030e-02 | L=5.15e-02 E=1.55e-02 Dyn=1.05e+00 | eig-ratio-L2=1.482e-01 axis-align=0.890
[144] train=3.6615e-02 | val=6.6071e-02 | L=5.09e-02 E=1.52e-02 Dyn=1.06e+00 | eig-ratio-L2=1.494e-01 axis-align=0.889
[145] train=3.6684e-02 | val=6.5833e-02 | L=5.03e-02 E=1.55e-02 Dyn=1.02e+00 | eig-ratio-L2=1.485e-01 axis-align=0.892
[146] train=3.6542e-02 | val=6.6895e-02 | L=5.15e-02 E=1.54e-02 Dyn=1.08e+00 | eig-ratio-L2=1.474e-01 axis-align=0.896
[147] train=3.6634e-02 | val=6.7160e-02 | L=5.09e-02 E=1.62e-02 Dyn=1.02e+00 | eig-ratio-L2=1.498e-01 axis-align=0.893
[148] train=3.6255e-02 | val=6.7916e-02 | L=5.19e-02 E=1.60e-02 Dyn=1.05e+00 | eig-ratio-L2=1.484e-01 axis-align=0.892
[149] train=3.6786e-02 | val=6.8911e-02 | L=5.25e-02 E=1.64e-02 Dyn=1.08e+00 | eig-ratio-L2=1.480e-01 axis-align=0.886
[150] train=3.6510e-02 | val=6.8088e-02 | L=5.20e-02 E=1.60e-02 Dyn=1.05e+00 | eig-ratio-L2=1.471e-01 axis-align=0.890
[151] train=3.6287e-02 | val=6.8482e-02 | L=5.23e-02 E=1.62e-02 Dyn=1.05e+00 | eig-ratio-L2=1.466e-01 axis-align=0.890
[152] train=3.6011e-02 | val=6.7973e-02 | L=5.18e-02 E=1.62e-02 Dyn=1.07e+00 | eig-ratio-L2=1.481e-01 axis-align=0.892
[153] train=3.6392e-02 | val=6.7653e-02 | L=5.16e-02 E=1.60e-02 Dyn=1.08e+00 | eig-ratio-L2=1.483e-01 axis-align=0.883
[154] train=3.5806e-02 | val=6.7107e-02 | L=5.11e-02 E=1.60e-02 Dyn=1.06e+00 | eig-ratio-L2=1.463e-01 axis-align=0.889
[155] train=3.6413e-02 | val=6.8721e-02 | L=5.20e-02 E=1.67e-02 Dyn=1.06e+00 | eig-ratio-L2=1.478e-01 axis-align=0.884
[156] train=3.6243e-02 | val=7.0799e-02 | L=5.33e-02 E=1.75e-02 Dyn=1.10e+00 | eig-ratio-L2=1.480e-01 axis-align=0.889
[157] train=3.6272e-02 | val=6.7738e-02 | L=5.17e-02 E=1.60e-02 Dyn=1.04e+00 | eig-ratio-L2=1.465e-01 axis-align=0.890
[158] train=3.5949e-02 | val=6.5592e-02 | L=5.14e-02 E=1.42e-02 Dyn=1.02e+00 | eig-ratio-L2=1.458e-01 axis-align=0.889
[159] train=3.6400e-02 | val=6.7454e-02 | L=5.20e-02 E=1.54e-02 Dyn=1.05e+00 | eig-ratio-L2=1.466e-01 axis-align=0.886
[160] train=3.5907e-02 | val=6.5677e-02 | L=5.03e-02 E=1.53e-02 Dyn=1.03e+00 | eig-ratio-L2=1.445e-01 axis-align=0.892
[161] train=3.6762e-02 | val=7.0895e-02 | L=5.38e-02 E=1.71e-02 Dyn=1.08e+00 | eig-ratio-L2=1.440e-01 axis-align=0.885
[162] train=3.5670e-02 | val=6.5851e-02 | L=5.07e-02 E=1.52e-02 Dyn=1.00e+00 | eig-ratio-L2=1.456e-01 axis-align=0.888
[163] train=3.5518e-02 | val=6.8889e-02 | L=5.21e-02 E=1.68e-02 Dyn=1.05e+00 | eig-ratio-L2=1.441e-01 axis-align=0.886
[164] train=3.5569e-02 | val=7.0782e-02 | L=5.31e-02 E=1.77e-02 Dyn=1.05e+00 | eig-ratio-L2=1.448e-01 axis-align=0.886
[165] train=3.5302e-02 | val=6.5913e-02 | L=5.08e-02 E=1.51e-02 Dyn=9.95e-01 | eig-ratio-L2=1.460e-01 axis-align=0.895
[166] train=3.5357e-02 | val=6.9779e-02 | L=5.34e-02 E=1.64e-02 Dyn=1.09e+00 | eig-ratio-L2=1.455e-01 axis-align=0.890
[167] train=3.5366e-02 | val=6.7254e-02 | L=5.17e-02 E=1.55e-02 Dyn=1.06e+00 | eig-ratio-L2=1.479e-01 axis-align=0.887
[168] train=3.5471e-02 | val=6.9940e-02 | L=5.33e-02 E=1.67e-02 Dyn=1.07e+00 | eig-ratio-L2=1.443e-01 axis-align=0.883
