Logging to logs/selfsup_mamba_20251022-093745
GPU is available
Using device: cuda
training lstm
[39] train=9.9878e-02 | val=1.7572e-01 | L=7.63e-02 E=2.10e-02 Dyn=7.84e-01 | eig-ratio-L2=1.551e-01 axis-align=0.871
[40] train=9.8639e-02 | val=1.9094e-01 | L=7.77e-02 E=2.17e-02 Dyn=9.15e-01 | eig-ratio-L2=1.544e-01 axis-align=0.881
[41] train=9.7109e-02 | val=1.7819e-01 | L=7.55e-02 E=2.21e-02 Dyn=8.05e-01 | eig-ratio-L2=1.541e-01 axis-align=0.874
[42] train=1.0951e-01 | val=1.7429e-01 | L=7.89e-02 E=2.16e-02 Dyn=7.38e-01 | eig-ratio-L2=1.564e-01 axis-align=0.877
[43] train=9.5653e-02 | val=1.7039e-01 | L=7.45e-02 E=2.07e-02 Dyn=7.51e-01 | eig-ratio-L2=1.567e-01 axis-align=0.881
[44] train=9.5960e-02 | val=1.7165e-01 | L=7.61e-02 E=2.03e-02 Dyn=7.52e-01 | eig-ratio-L2=1.563e-01 axis-align=0.877
[45] train=9.4051e-02 | val=1.7654e-01 | L=7.84e-02 E=2.31e-02 Dyn=7.51e-01 | eig-ratio-L2=1.518e-01 axis-align=0.880
[46] train=1.0376e-01 | val=1.9871e-01 | L=7.71e-02 E=2.92e-02 Dyn=9.24e-01 | eig-ratio-L2=1.548e-01 axis-align=0.883
[47] train=9.1231e-02 | val=1.8446e-01 | L=7.70e-02 E=2.50e-02 Dyn=8.24e-01 | eig-ratio-L2=1.513e-01 axis-align=0.882
[48] train=8.9613e-02 | val=2.0166e-01 | L=7.87e-02 E=2.51e-02 Dyn=9.79e-01 | eig-ratio-L2=1.571e-01 axis-align=0.880
[49] train=9.4704e-02 | val=1.7470e-01 | L=7.73e-02 E=2.21e-02 Dyn=7.54e-01 | eig-ratio-L2=1.549e-01 axis-align=0.880
[50] train=8.6776e-02 | val=1.7696e-01 | L=7.60e-02 E=2.33e-02 Dyn=7.76e-01 | eig-ratio-L2=1.565e-01 axis-align=0.881
[51] train=8.7559e-02 | val=1.8920e-01 | L=7.63e-02 E=2.27e-02 Dyn=9.03e-01 | eig-ratio-L2=1.522e-01 axis-align=0.889
